HostName,Status,Remark,Domain,HypervisorPresent,Manufacturer,Model,NumberOfLogicalProcessors,NumberOfProcessors,PartOfDomain,SystemFamily,SystemSKUNumber,SystemType,TotalPhysicalMemory(GB),Primary_UserName,BootDevice,BuildNumber,Operating_System,OS_InstallDate,OS_Manufacturer,OS_Name,OSArchitecture,CPU,MaxClockSpeed(MHz),CurrentClockSpeed(MHz),Disks,Number_of_Drives,Drives,Size_of_Drives,Graphics_Card,Network_Adapters,MacAddress,IP_Address,Total_Sockets,Total_Cores,Cores_Per_Socket,Last_Scan_Time
"ubuntu","Online","","","True","innotek GmbH","VirtualBox","4","1","False","Virtual Machine","N/A","x86_64","3.78","root","/dev/sda2","6.14.0-37-generic","Ubuntu 24.04.3 LTS","2025-12-12 14:45:54","ubuntu","Ubuntu","x86_64","12th Gen Intel(R) Core(TM) i5-1245U CPU @ 0.0GHz","","","loop0  ;loop1  ;loop2  ;loop3  ;loop4  ;loop5  ;loop6  ;loop7  ;loop8  ;loop9  ;loop10 ;loop11 ;loop12 ;sda    VBOX HARDDISK;sr0    VBOX CD-ROM;","1","NAME=""loop0"" SIZE=""4K"" MOUNTPOINT=""/snap/bare/5""|NAME=""loop1"" SIZE=""73.9M"" MOUNTPOINT=""/snap/core22/2045""|NAME=""loop2"" SIZE=""74M"" MOUNTPOINT=""/snap/core22/2163""|NAME=""loop3"" SIZE=""245.1M"" MOUNTPOINT=""/snap/firefox/6565""|NAME=""loop4"" SIZE=""250.4M"" MOUNTPOINT=""/snap/firefox/7477""|NAME=""loop5"" SIZE=""516M"" MOUNTPOINT=""/snap/gnome-42-2204/202""|NAME=""loop6"" SIZE=""11.1M"" MOUNTPOINT=""/snap/firmware-updater/167""|NAME=""loop7"" SIZE=""10.8M"" MOUNTPOINT=""/snap/snap-store/1270""|NAME=""loop8"" SIZE=""91.7M"" MOUNTPOINT=""/snap/gtk-common-themes/1535""|NAME=""loop9"" SIZE=""18.5M"" MOUNTPOINT=""/snap/firmware-updater/210""|NAME=""loop10"" SIZE=""49.3M"" MOUNTPOINT=""/snap/snapd/24792""|NAME=""loop11"" SIZE=""50.9M"" MOUNTPOINT=""/snap/snapd/25577""|NAME=""loop12"" SIZE=""576K"" MOUNTPOINT=""/snap/snapd-desktop-integration/315""|NAME=""sda"" SIZE=""25G"" MOUNTPOINT=""""|NAME=""sda1"" SIZE=""1M"" MOUNTPOINT=""""|NAME=""sda2"" SIZE=""25G"" MOUNTPOINT=""/""|NAME=""sr0"" SIZE=""1024M"" MOUNTPOINT=""""|","loop0      4K;loop1   73.9M;loop2     74M;loop3  245.1M;loop4  250.4M;loop5    516M;loop6   11.1M;loop7   10.8M;loop8   91.7M;loop9   18.5M;loop10  49.3M;loop11  50.9M;loop12   576K;sda       25G;sr0     1024M;"," VMware SVGA II Adapter;","lo;enp0s3;enp0s8;","32:25:19:83:9c:e3;08:00:27:92:3a:b8;","127.0.0.1;192.168.56.113;192.168.1.102;","1","4","4","2025-12-16 10:10:02Z"
"centos7","Online","","","True","innotek GmbH","VirtualBox","2","1","False","Virtual Machine","N/A","x86_64","3.65","root","/dev/mapper/centos-root","3.10.0-957.el7.x86_64","CentOS Linux 7 (Core)","2025-11-03 16:47:01","""centos""","CentOS Linux","x86_64","12th Gen Intel(R) Core(TM) i5-1245U","2495.992","2495.992","sda  VBOX HARDDISK   ;sr0  CD-ROM          ;","1","NAME=""sda"" SIZE=""40G"" MOUNTPOINT=""""|NAME=""sda1"" SIZE=""1G"" MOUNTPOINT=""/boot""|NAME=""sda2"" SIZE=""39G"" MOUNTPOINT=""""|NAME=""centos-root"" SIZE=""35.1G"" MOUNTPOINT=""/""|NAME=""centos-swap"" SIZE=""3.9G"" MOUNTPOINT=""[SWAP]""|NAME=""sr0"" SIZE=""1024M"" MOUNTPOINT=""""|","sda    40G;sr0  1024M;"," VMware SVGA II Adapter;","lo;enp0s3;enp0s8;virbr0;virbr0-nic;","08:00:27:06:5c:b2;08:00:27:89:85:0d;52:54:00:b8:b4:d7;52:54:00:b8:b4:d7;","127.0.0.1;192.168.56.32;192.168.1.103;192.168.122.1;","1","2","2","2025-12-16 10:10:23Z"
